course_code,course_name,credits,grade,semester
ENG102,Introduction to Composition,3,T,Spring2019
ENG103,Intermediate Composition,3,B,Summer2019
MKT202,Introduction to Marketing,3,C+,Summer2019
ACT201,Intro to Financial Accounting,3,F,Summer2019
MGT212,Principles of Management,3,F,Summer2019
MGT212,Principles of Management,3,D,Fall2019
MIS107,Introduction to Computers,3,C,Fall2019
ECO101,Intro to Microeconomics,3,C+,Spring2020
BUS251,Business Communication,3,B,Spring2020
INB372,International Business,3,D,Spring2020
ACT201,Intro to Financial Accounting,3,B-,Spring2020
MIS207,Management Information Systems,3,C-,Summer2020
ACT202,Intro to Managerial Accounting,3,D,Summer2020
MGT314,Production Management,3,D+,Fall2020
ECO104,Intro to Macroeconomics,3,D+,Fall2020
MGT368,Entrepreneurship,3,C+,Fall2020
MGT351,Human Resource Management,3,C-,Spring2021
PHI401,Ethics / Philosophy,3,C,Spring2021
ENG105,Advanced Composition,3,D+,Spring2021
CHN101,Chinese Language,3,F,Summer2021
POL101,Intro to Political Science,3,C-,Summer2021
BEN205,Bengali Literature,3,C-,Summer2021
ANT101,Anthropology,3,B-,Fall2021
GEO205,Geography,3,B-,Fall2021
SOC101,Intro to Sociology,3,C,Fall2021
ENV107L,Environmental Science Lab,1,C+,Fall2021
ENV107,Environmental Science,3,D+,Fall2021
HIS101,Bangladesh History,3,B-,Spring2022
HIS103,History of South Asia,3,D,Spring2022
HIS102,World Civilization,3,C-,Spring2022
MGT321,Organizational Behavior,3,D+,Spring2022
