course_code,course_name,credits,grade,semester
ECO101,Intro to Microeconomics,3,A-,Fall2020
MIS107,Introduction to Computers,3,A,Fall2020
ACT201,Intro to Financial Accounting,3,B+,Fall2020
MKT202,Introduction to Marketing,3,A,Fall2020
INB372,International Business,3,A-,Fall2020
BUS251,Business Communication,3,B+,Fall2020
ECO104,Intro to Macroeconomics,3,A-,Spring2021
PHI401,Ethics / Philosophy,3,A-,Spring2021
MIS207,Management Information Systems,3,A-,Spring2021
MGT212,Principles of Management,3,B+,Spring2021
MGT368,Entrepreneurship,3,A,Summer2021
MGT351,Human Resource Management,3,B,Summer2021
BEN205,Bengali Literature,3,A,Summer2021
LAW200,Legal Environment of Business,3,B,Summer2021
ACT202,Intro to Managerial Accounting,3,C+,Summer2021
SOC101,Intro to Sociology,3,B-,Fall2021
POL101,Intro to Political Science,3,B-,Fall2021
MGT314,Production Management,3,B+,Fall2021
PAD201,Public Administration,3,B+,Fall2021
POL104,Political Science,3,A,Fall2021
PBH101L,Public Health Lab,1,C-,Spring2022
CHE101,Chemistry I,3,B,Spring2022
PHY107,Physics I,3,C+,Spring2022
PBH101,Public Health,3,C+,Spring2022
BIO103,Biology I,3,B-,Spring2022
PSY101,Intro to Psychology,3,B,Spring2022
CHE101L,Chemistry I Lab,1,B,Spring2022
ENV107,Environmental Science,3,B-,Spring2022
BIO103L,Biology I Lab,1,C-,Spring2022
PSY101L,Psychology Lab,1,B-,Spring2022
ENV107L,Environmental Science Lab,1,C+,Spring2022
HIS205,Modern History,3,C-,Summer2022
HIS101,Bangladesh History,3,C-,Summer2022
ECO201,Intermediate Microeconomics,3,C-,Summer2022
ECO204,Intermediate Macroeconomics,3,C+,Summer2022
ECO328,Econometrics,3,D+,Fall2022
ECO304,International Economics,3,D+,Fall2022
ECO354,Advanced Microeconomics,3,D+,Fall2022
ECO348,Mathematical Economics,3,D+,Fall2022
ECO244,Economic Development,3,D+,Fall2022
ECO415,Public Finance,3,D,Spring2023
ECO441,Labor Economics,3,D,Spring2023
ECO301,Monetary Economics,3,D,Spring2023
ECO460,International Trade,3,F,Spring2023
ECO410,Development Economics,3,D,Spring2023
ECO317,Public Economics,3,D,Spring2023
BUS498,Internship,4,F,Spring2024
