course_code,course_name,credits,grade,semester
ACT201,Intro to Financial Accounting,3,B,Fall2021
MKT202,Introduction to Marketing,3,D,Fall2021
ECO101,Intro to Microeconomics,3,B,Fall2021
ACT202,Intro to Managerial Accounting,3,A,Spring2022
ECO104,Intro to Macroeconomics,3,D+,Spring2022
MGT212,Principles of Management,3,C-,Spring2022
MIS107,Introduction to Computers,3,A-,Spring2022
INB372,International Business,3,C+,Spring2022
MGT351,Human Resource Management,3,D+,Summer2022
BUS251,Business Communication,3,B+,Summer2022
LAW200,Legal Environment of Business,3,A-,Summer2022
ENG115,English Literature,3,W,Fall2022
MGT314,Production Management,3,D+,Fall2022
MIS207,Management Information Systems,3,A,Fall2022
MGT368,Entrepreneurship,3,B+,Fall2022
PHI401,Ethics / Philosophy,3,A-,Spring2023
ENG115,English Literature,3,C,Spring2023
POL101,Intro to Political Science,3,C+,Spring2023
PBH101L,Public Health Lab,1,B,Summer2023
BIO103,Biology I,3,C,Summer2023
BIO103L,Biology I Lab,1,C-,Summer2023
PBH101,Public Health,3,D+,Summer2023
ENV107,Environmental Science,3,W,Summer2023
PSY101L,Psychology Lab,1,C+,Summer2023
SOC101,Intro to Sociology,3,D+,Summer2023
PSY101,Intro to Psychology,3,C,Summer2023
HRM370,Managerial Skill Development,3,A-,Fall2023
HIS101,Bangladesh History,3,C,Fall2023
HIS103,History of South Asia,3,A,Fall2023
HIS205,Modern History,3,A,Fall2023
MGT321,Organizational Behavior,3,C,Fall2023
MGT350,Managing Quality,3,C-,Spring2024
HRM450,Industrial Relations,3,W,Spring2024
MGT410,Entrepreneurship II,3,C+,Spring2024
MIS320,IT for Managers,3,A-,Spring2024
HRM470,Negotiations,3,C-,Spring2024
MGT490,Project Management,3,C-,Summer2024
HRM450,Industrial Relations,3,B,Summer2024
MGT330,Designing Effective Organizations,3,D,Summer2024
BUS498,Internship,4,F,Fall2024
