course_code,course_name,credits,grade,semester
ENG102,Introduction to Composition,3,T,Spring2019
MGT212,Principles of Management,3,C-,Fall2020
ECO101,Intro to Microeconomics,3,C,Fall2020
MKT202,Introduction to Marketing,3,C-,Fall2020
MIS107,Introduction to Computers,3,C,Spring2021
BUS251,Business Communication,3,B,Spring2021
ACT201,Intro to Financial Accounting,3,B-,Spring2021
ACT202,Intro to Managerial Accounting,3,D,Summer2021
INB372,International Business,3,W,Summer2021
ECO104,Intro to Macroeconomics,3,C-,Summer2021
MIS207,Management Information Systems,3,C,Fall2021
INB372,International Business,3,F,Fall2021
MGT351,Human Resource Management,3,C,Spring2022
MGT368,Entrepreneurship,3,F,Spring2022
ENG103,Intermediate Composition,3,W,Spring2022
INB372,International Business,3,W,Spring2022
MGT368,Entrepreneurship,3,B-,Summer2022
INB372,International Business,3,B-,Summer2022
LAW200,Legal Environment of Business,3,C,Summer2022
ENG103,Intermediate Composition,3,B,Summer2022
BEN205,Bengali Literature,3,C+,Fall2022
MGT314,Production Management,3,B,Fall2022
PHI401,Ethics / Philosophy,3,F,Spring2023
PAD201,Public Administration,3,D,Spring2023
ENG105,Advanced Composition,3,D+,Spring2023
SOC101,Intro to Sociology,3,C+,Spring2023
PBH101L,Public Health Lab,1,F,Summer2023
PBH101,Public Health,3,C-,Summer2023
ENV107,Environmental Science,3,F,Summer2023
PSY101,Intro to Psychology,3,W,Summer2023
PHY107,Physics I,3,C+,Summer2023
