course_code,course_name,credits,grade,semester
CSE115L,Programming Language I Lab,1,A,Spring2019
BIO103,Biology I,3,A-,Spring2019
MAT120,Calculus I,3,B+,Spring2019
BIO103L,Biology I Lab,1,A,Spring2019
CHE101L,Chemistry I Lab,1,A,Spring2019
CHE101,Chemistry I,3,A-,Spring2019
MAT116,Pre-Calculus,0,T,Spring2019
PHY108L,Physics II Lab,1,B,Spring2019
POL104,Political Science,3,A-,Spring2019
CSE115,Programming Language I,3,A-,Spring2019
PHI104,Introduction to Ethics,3,A-,Summer2019
CSE331,Microprocessor Interfacing,3,A,Summer2019
MAT130,Calculus II,3,A,Summer2019
SOC101,Intro to Sociology,3,B,Summer2019
CSE331L,Microprocessor Interfacing Lab,1,B+,Summer2019
CSE173,Discrete Mathematics,3,B+,Summer2019
EEE141L,Electrical Circuits I Lab,1,B,Fall2019
PHY107L,Physics I Lab,1,C-,Fall2019
CSE145,Introduction to Artificial Intelligence,3,B,Fall2019
PHY107,Physics I,3,C-,Fall2019
PHY108,Physics II,3,B,Fall2019
CSE215L,Programming Language II Lab,1,B+,Fall2019
MAT250,Calculus III,3,B-,Fall2019
EEE141,Electrical Circuits I,3,B-,Fall2019
CSE215,Programming Language II,3,B+,Fall2019
CSE225,Data Structures & Algorithms,3,C-,Spring2020
ECO101,Intro to Microeconomics,3,C-,Spring2020
MAT361,Discrete Mathematics II,3,C-,Spring2020
CSE225L,Data Structures & Algorithms Lab,1,C+,Spring2020
