course_code,course_name,credits,grade,semester
ENG102,Introduction to Composition,3,T,Spring2019
MGT212,Principles of Management,3,T,Summer2020
ACT201,Intro to Financial Accounting,3,T,Summer2020
ECO101,Intro to Microeconomics,3,B+,Fall2020
ACT202,Intro to Managerial Accounting,3,C+,Fall2020
MKT202,Introduction to Marketing,3,B,Fall2020
ENG103,Intermediate Composition,3,B+,Fall2020
MIS107,Introduction to Computers,3,T,Spring2021
BUS251,Business Communication,3,A,Spring2021
INB372,International Business,3,T,Spring2021
MGT351,Human Resource Management,3,T,Summer2021
ECO104,Intro to Macroeconomics,3,T,Summer2021
MGT314,Production Management,3,A,Fall2021
MGT368,Entrepreneurship,3,B+,Fall2021
ENG105,Advanced Composition,3,C,Fall2021
LAW200,Legal Environment of Business,3,T,Spring2022
PHI401,Ethics / Philosophy,3,T,Spring2022
MIS207,Management Information Systems,3,C+,Summer2022
POL101,Intro to Political Science,3,T,Summer2022
ENG115,English Literature,3,T,Summer2022
