course_code,course_name,credits,grade,semester
ENG102,Introduction to Composition,3,T,Spring2019
BUS112,Intro to Business Mathematics,3,T,Spring2019
ECO101,Intro to Microeconomics,3,B,Spring2022
MGT212,Principles of Management,3,B,Summer2022
ACT201,Intro to Financial Accounting,3,W,Summer2022
ENG103,Intermediate Composition,3,C,Summer2022
MIS107,Introduction to Computers,3,C,Fall2022
ECO104,Intro to Macroeconomics,3,W,Fall2022
BUS135,Business Mathematics,3,B+,Fall2022
ECO104,Intro to Macroeconomics,3,C+,Spring2023
BUS172,Introduction to Statistics,3,C,Spring2023
MKT202,Introduction to Marketing,3,C+,Spring2023
ACT201,Intro to Financial Accounting,3,B,Summer2023
BUS251,Business Communication,3,B,Fall2023
FIN254,Intro to Financial Management,3,W,Spring2024
LAW200,Legal Environment of Business,3,W,Summer2024
BUS173,Applied Statistics,3,W,Summer2024
BUS173,Applied Statistics,3,W,Fall2024
