course_code,course_name,credits,grade,semester
ENG102,Introduction to Composition,3,T,Spring2019
MKT202,Introduction to Marketing,3,A,Fall2019
ECO101,Intro to Microeconomics,3,W,Fall2019
ENG103,Intermediate Composition,3,C,Fall2019
ECO101,Intro to Microeconomics,3,B-,Spring2020
ACT201,Intro to Financial Accounting,3,C,Spring2020
LAW200,Legal Environment of Business,3,F,Spring2020
BUS251,Business Communication,3,A,Spring2020
ECO104,Intro to Macroeconomics,3,C,Summer2020
MGT212,Principles of Management,3,C-,Summer2020
