course_code,course_name,credits,grade,semester
ENG102,Introduction to Composition,3,T,Spring2019
BUS112,Intro to Business Mathematics,3,T,Spring2019
MKT202,Introduction to Marketing,3,A-,Fall2020
ACT201,Intro to Financial Accounting,3,B,Fall2020
MGT212,Principles of Management,3,B-,Fall2020
BUS135,Business Mathematics,3,A-,Fall2020
BUS172,Introduction to Statistics,3,A,Spring2021
MIS107,Introduction to Computers,3,C+,Spring2021
BUS251,Business Communication,3,B-,Spring2021
ENG103,Intermediate Composition,3,B+,Spring2021
LAW200,Legal Environment of Business,3,C,Spring2021
MIS207,Management Information Systems,3,B,Summer2021
FIN254,Intro to Financial Management,3,B-,Summer2021
BUS173,Applied Statistics,3,A-,Summer2021
ACT202,Intro to Managerial Accounting,3,B-,Summer2021
MGT351,Human Resource Management,3,A-,Fall2021
ENG105,Advanced Composition,3,B+,Fall2021
MGT314,Production Management,3,C+,Fall2021
INB372,International Business,3,B,Fall2021
PHI401,Ethics / Philosophy,3,B-,Fall2021
CHN101,Chinese Language,3,B,Spring2022
POL104,Political Science,3,A,Spring2022
ECO101,Intro to Microeconomics,3,B,Spring2022
BEN205,Bengali Literature,3,A,Spring2022
POL101,Intro to Political Science,3,A-,Spring2022
MGT368,Entrepreneurship,3,C+,Summer2022
ENV107,Environmental Science,3,C-,Summer2022
PBH101L,Public Health Lab,1,B+,Summer2022
ENV107L,Environmental Science Lab,1,B+,Summer2022
ANT101,Anthropology,3,A,Summer2022
PBH101,Public Health,3,B+,Summer2022
BIO103,Biology I,3,C,Summer2022
ECO104,Intro to Macroeconomics,3,C,Summer2022
HRM380,Compensation Theory and Practice,3,A,Fall2022
HRM450,Industrial Relations,3,C,Fall2022
HIS103,History of South Asia,3,C,Fall2022
HRM360,Planning and Staffing,3,C+,Fall2022
HRM340,Training and Development,3,C-,Fall2022
HIS205,Modern History,3,C+,Fall2022
BUS498,Internship,4,C-,Spring2024
