course_code,course_name,credits,grade,semester
BUS112,Intro to Business Mathematics,3,T,Spring2019
MIS107,Introduction to Computers,3,B+,Fall2022
ECO101,Intro to Microeconomics,3,B,Fall2022
MGT212,Principles of Management,3,W,Fall2022
BUS135,Business Mathematics,3,F,Fall2022
MKT202,Introduction to Marketing,3,A,Fall2022
ACT201,Intro to Financial Accounting,3,W,Spring2023
LAW200,Legal Environment of Business,3,W,Spring2023
BUS135,Business Mathematics,3,W,Spring2023
MGT212,Principles of Management,3,W,Spring2023
BUS251,Business Communication,3,W,Spring2023
ECO104,Intro to Macroeconomics,3,W,Summer2023
LAW200,Legal Environment of Business,3,B+,Summer2023
BUS251,Business Communication,3,C+,Summer2023
MGT212,Principles of Management,3,C,Summer2023
