course_code,course_name,credits,grade,semester
BUS112,Intro to Business Mathematics,3,T,Spring2019
ENG102,Introduction to Composition,3,T,Spring2019
MIS107,Introduction to Computers,3,B,Spring2020
BUS251,Business Communication,3,B-,Spring2020
BUS135,Business Mathematics,3,B,Spring2020
ECO101,Intro to Microeconomics,3,C+,Spring2020
ACT201,Intro to Financial Accounting,3,A-,Spring2020
ENG103,Intermediate Composition,3,A-,Spring2020
ACT202,Intro to Managerial Accounting,3,B,Summer2020
MGT212,Principles of Management,3,B-,Summer2020
LAW200,Legal Environment of Business,3,A-,Summer2020
BUS172,Introduction to Statistics,3,B-,Summer2020
BUS173,Applied Statistics,3,B+,Fall2020
FIN254,Intro to Financial Management,3,C+,Fall2020
MKT202,Introduction to Marketing,3,A-,Fall2020
INB372,International Business,3,C-,Fall2020
MGT351,Human Resource Management,3,B-,Fall2020
MIS207,Management Information Systems,3,B+,Spring2021
MGT368,Entrepreneurship,3,B-,Spring2021
MGT314,Production Management,3,C+,Spring2021
PHI401,Ethics / Philosophy,3,A-,Spring2021
CHN101,Chinese Language,3,B+,Summer2021
ECO104,Intro to Macroeconomics,3,C,Summer2021
BEN205,Bengali Literature,3,B,Summer2021
POL101,Intro to Political Science,3,B+,Summer2021
BIO103,Biology I,3,C,Fall2021
ENV107L,Environmental Science Lab,1,C-,Fall2021
ENV107,Environmental Science,3,C+,Fall2021
ANT101,Anthropology,3,B+,Fall2021
SOC101,Intro to Sociology,3,B,Fall2021
