course_code,course_name,credits,grade,semester
ENG102,Introduction to Composition,3,T,Spring2019
MKT202,Introduction to Marketing,3,B,Spring2023
ACT201,Intro to Financial Accounting,3,B,Spring2023
ENG103,Intermediate Composition,3,B-,Spring2023
MGT212,Principles of Management,3,A,Spring2023
BUS251,Business Communication,3,B,Spring2023
MIS107,Introduction to Computers,3,A-,Spring2023
ECO101,Intro to Microeconomics,3,A-,Summer2023
MIS207,Management Information Systems,3,C,Summer2023
MGT314,Production Management,3,B,Summer2023
ACT202,Intro to Managerial Accounting,3,C-,Summer2023
INB372,International Business,3,A-,Summer2023
BEN205,Bengali Literature,3,B-,Fall2023
PHI401,Ethics / Philosophy,3,B-,Fall2023
MGT351,Human Resource Management,3,B-,Fall2023
LAW200,Legal Environment of Business,3,B+,Fall2023
ENG105,Advanced Composition,3,B,Fall2023
POL104,Political Science,3,B+,Spring2024
PAD201,Public Administration,3,B+,Spring2024
MGT368,Entrepreneurship,3,C,Spring2024
ECO104,Intro to Macroeconomics,3,B+,Spring2024
ANT101,Anthropology,3,A,Summer2024
PBH101L,Public Health Lab,1,C,Summer2024
ENV107L,Environmental Science Lab,1,B+,Summer2024
ENV107,Environmental Science,3,C+,Summer2024
BIO103,Biology I,3,C,Summer2024
PBH101,Public Health,3,C,Summer2024
INB480,Global Business Strategy,3,C+,Fall2024
HIS205,Modern History,3,A-,Fall2024
INB400,International Trade and Finance,3,A,Fall2024
HIS103,History of South Asia,3,C+,Fall2024
HIS102,World Civilization,3,A,Fall2024
INB490,Cross-Cultural Management,3,A,Fall2024
