course_code,course_name,credits,grade,semester
ENG102,Introduction to Composition,3,T,Spring2019
BUS112,Intro to Business Mathematics,3,T,Spring2019
MKT202,Introduction to Marketing,3,B-,Fall2019
MGT212,Principles of Management,3,A,Fall2019
BUS135,Business Mathematics,3,B-,Fall2019
BUS251,Business Communication,3,C+,Spring2020
ECO101,Intro to Microeconomics,3,A,Spring2020
LAW200,Legal Environment of Business,3,C-,Spring2020
ACT201,Intro to Financial Accounting,3,A,Spring2020
BUS172,Introduction to Statistics,3,C+,Spring2020
