course_code,course_name,credits,grade,semester
BUS112,Intro to Business Mathematics,3,T,Spring2019
ENG102,Introduction to Composition,3,T,Spring2019
BUS135,Business Mathematics,3,F,Summer2021
ACT201,Intro to Financial Accounting,3,D+,Summer2021
MGT212,Principles of Management,3,F,Summer2021
MKT202,Introduction to Marketing,3,D,Summer2021
MGT212,Principles of Management,3,F,Fall2021
BUS251,Business Communication,3,D+,Fall2021
ACT202,Intro to Managerial Accounting,3,C,Fall2021
MIS107,Introduction to Computers,3,D+,Fall2021
ECO101,Intro to Microeconomics,3,C-,Fall2021
MIS207,Management Information Systems,3,C-,Spring2022
ENG103,Intermediate Composition,3,C+,Spring2022
ECO104,Intro to Macroeconomics,3,D+,Spring2022
LAW200,Legal Environment of Business,3,I,Spring2022
INB372,International Business,3,F,Spring2022
PHI401,Ethics / Philosophy,3,F,Summer2022
BUS135,Business Mathematics,3,C+,Summer2022
LAW200,Legal Environment of Business,3,D,Summer2022
MGT212,Principles of Management,3,C+,Summer2022
BEN205,Bengali Literature,3,C,Summer2022
