course_code,course_name,credits,grade,semester
MGT212,Principles of Management,3,B-,Spring2019
ECO101,Intro to Microeconomics,3,C+,Spring2019
MKT202,Introduction to Marketing,3,D,Spring2019
BUS251,Business Communication,3,B,Spring2019
BUS112,Intro to Business Mathematics,3,T,Spring2019
BUS135,Business Mathematics,3,C,Spring2019
BUS172,Introduction to Statistics,3,F,Summer2019
ACT201,Intro to Financial Accounting,3,B,Summer2019
INB372,International Business,3,D,Summer2019
MIS107,Introduction to Computers,3,A,Summer2019
MIS207,Management Information Systems,3,C+,Fall2019
LAW200,Legal Environment of Business,3,D+,Fall2019
ACT202,Intro to Managerial Accounting,3,C+,Fall2019
MGT351,Human Resource Management,3,C-,Fall2019
MGT314,Production Management,3,C,Spring2020
MGT368,Entrepreneurship,3,D,Spring2020
ECO104,Intro to Macroeconomics,3,A-,Spring2020
ENG115,English Literature,3,B-,Summer2020
BUS172,Introduction to Statistics,3,W,Summer2020
BEN205,Bengali Literature,3,C-,Summer2020
POL101,Intro to Political Science,3,C-,Summer2020
POL104,Political Science,3,C-,Summer2020
BIO103,Biology I,3,A,Fall2020
BUS172,Introduction to Statistics,3,C+,Fall2020
GEO205,Geography,3,A,Fall2020
ENV107,Environmental Science,3,D+,Fall2020
ENV107L,Environmental Science Lab,1,B-,Fall2020
ANT101,Anthropology,3,D,Fall2020
BIO103L,Biology I Lab,1,C-,Fall2020
