course_code,course_name,credits,grade,semester
ENG105,Advanced Composition,3,A-,Summer2021
CSE299,Junior Design Project,1,A,Summer2021
HIS101,Bangladesh History,3,B-,Summer2021
CSE225L,Data Structures & Algorithms Lab,1,B,Fall2021
CSE311L,Database Management Systems Lab,1,A,Fall2021
CSE145,Introduction to Artificial Intelligence,3,A-,Fall2021
PHY107L,Physics I Lab,1,C+,Fall2021
MAT116,Pre-Calculus,3,B-,Spring2022
CSE425,Concepts of Programming Languages,3,A-,Spring2022
PHY108L,Physics II Lab,1,B-,Spring2022
CEE110,Engineering Drawing,1,A-,Spring2022
CSE226,Fundamentals of Vibe Coding,3,B,Summer2022
ENG103,Intermediate Composition,3,B+,Summer2022
BIO103,Biology I,3,B-,Summer2022
CSE331L,Microprocessor Interfacing Lab,1,A,Summer2022
CSE331,Microprocessor Interfacing,3,A-,Summer2022
ENG111,Public Speaking,3,A,Summer2022
BIO103L,Biology I Lab,1,B+,Summer2022
MIS107,Introduction to Computers,3,B,Fall2022
PHI401,Ethics / Philosophy,3,B+,Fall2022
HRM340,Training and Development,3,B-,Fall2022
MIS207,Management Information Systems,3,A,Spring2023
BUS251,Business Communication,3,C,Spring2023
ACT201,Intro to Financial Accounting,3,D,Spring2023
HRM380,Compensation Theory and Practice,3,B+,Spring2023
MKT202,Introduction to Marketing,3,C+,Summer2023
MGT212,Principles of Management,3,W,Summer2023
HRM360,Planning and Staffing,3,C-,Summer2023
HRM370,Managerial Skill Development,3,C,Fall2023
MGT212,Principles of Management,3,F,Fall2023
HRM470,Negotiations,3,B+,Fall2023
INB372,International Business,3,F,Spring2024
ACT202,Intro to Managerial Accounting,3,C,Spring2024
LAW200,Legal Environment of Business,3,C,Spring2024
HRM450,Industrial Relations,3,F,Spring2024
MGT212,Principles of Management,3,B,Spring2024
